Genre,Publisher,Platform
Action,Nintendo,Wii
Adventure,Microsoft Game Studios,NES
Fighting,Take-Two Interactive,GB
Misc,Sony Computer Entertainment,DS
Platform,Activision,X360
Puzzle,Ubisoft,PS3
Racing,Bethesda Softworks,PS2
Role-Playing,Electronic Arts,SNES
Shooter,Sega,GBA
Simulation,SquareSoft,3DS
Sports,Atari,PS4
Strategy,505 Games,N64
,Capcom,PS
,GT Interactive,XB
,Konami Digital Entertainment,PC
,Sony Computer Entertainment Europe,2600
,Square Enix,PSP
,LucasArts,XOne
,Virgin Interactive,GC
,Warner Bros. Interactive Entertainment,WiiU
,Universal Interactive,GEN
,Eidos Interactive,DC
,RedOctane,PSV
,Vivendi Games,SAT
,Enix Corporation,SCD
,Namco Bandai Games,WS
,Palcom,NG
,Hasbro Interactive,TG16
,THQ,3DO
,Fox Interactive,GG
,Acclaim Entertainment,PCFX
,MTV Games,
,Disney Interactive Studios,
,N/A,
,Majesco Entertainment,
,Codemasters,
,Red Orb,
,Level 5,
,Arena Entertainment,
,Midway Games,
,JVC,
,Deep Silver,
,989 Studios,
,NCSoft,
,UEP Systems,
,Parker Bros.,
,Maxis,
,Imagic,
,Tecmo Koei,
,Valve Software,
,ASCII Entertainment,
,Mindscape,
,Infogrames,
,Unknown,
,Square,
,Valve,
,Activision Value,
,Banpresto,
,D3Publisher,
,Oxygen Interactive,
,Red Storm Entertainment,
,Video System,
,Hello Games,
,Global Star,
,Gotham Games,
,Westwood Studios,
,GungHo,
,Crave Entertainment,
,Hudson Soft,
,Coleco,
,Rising Star Games,
,Atlus,
,TDK Mediactive,
,ASC Games,
,Zoo Games,
,Accolade,
,Sony Online Entertainment,
,3DO,
,RTL,
,Natsume,
,Focus Home Interactive,
,Alchemist,
,Black Label Games,
,SouthPeak Games,
,Mastertronic,
,Ocean,
,Zoo Digital Publishing,
,Psygnosis,
,City Interactive,
,Empire Interactive,
,Success,
,Compile,
,Russel,
,Taito,
,Agetec,
,GSP,
,Microprose,
,Play It,
,Slightly Mad Studios,
,Tomy Corporation,
,Sammy Corporation,
,Koch Media,
,Game Factory,
,Titus,
,Marvelous Entertainment,
,Genki,
,Mojang,
,Pinnacle,
,CTO SpA,
,TalonSoft,
,Crystal Dynamics,
,SCi,
,Quelle,
,"mixi, Inc",
,Rage Software,
,Ubisoft Annecy,
,Scholastic Inc.,
,Interplay,
,Mystique,
,ChunSoft,
,Square EA,
,20th Century Fox Video Games,
,Avanquest Software,
,Hudson Entertainment,
,Nordic Games,
,Men-A-Vision,
,Nobilis,
,Big Ben Interactive,
,Touchstone,
,Spike,
,Jester Interactive,
,Nippon Ichi Software,
,LEGO Media,
,Quest,
,Illusion Softworks,
,Tigervision,
,Funbox Media,
,Rocket Company,
,Metro 3D,
,Mattel Interactive,
,IE Institute,
,Rondomedia,
,Sony Computer Entertainment America,
,Universal Gamex,
,Ghostlight,
,Wizard Video Games,
,BMG Interactive Entertainment,
,PQube,
,Trion Worlds,
,Laguna,
,Ignition Entertainment,
,Takara,
,Kadokawa Shoten,
,Destineer,
,Enterbrain,
,Xseed Games,
,Imagineer,
,System 3 Arcade Software,
,CPG Products,
,Aruze Corp,
,Gamebridge,
,Midas Interactive Entertainment,
,Jaleco,
,Answer Software,
,XS Games,
,Activision Blizzard,
,Pack In Soft,
,Rebellion,
,Xplosiv,
,Ultravision,
,GameMill Entertainment,
,Wanadoo,
,NovaLogic,
,Telltale Games,
,Epoch,
,BAM! Entertainment,
,Knowledge Adventure,
,Mastiff,
,Tetris Online,
,Harmonix Music Systems,
,ESP,
,TYO,
,Telegames,
,Mud Duck Productions,
,Screenlife,
,Pioneer LDC,
,Magical Company,
,Mentor Interactive,
,Kemco,
,Human Entertainment,
,Avanquest,
,Data Age,
,Electronic Arts Victor,
,Black Bean Games,
,Jack of All Games,
,989 Sports,
,Takara Tomy,
,Media Rings,
,Elf,
,Kalypso Media,
,Starfish,
,Zushi Games,
,Jorudan,
,"Destination Software, Inc",
,New,
,Brash Entertainment,
,ITT Family Games,
,PopCap Games,
,Home Entertainment Suppliers,
,Ackkstudios,
,Starpath Corp.,
,P2 Games,
,BPS,
,Gathering of Developers,
,NewKidCo,
,Storm City Games,
,CokeM Interactive,
,CBS Electronics,
,Magix,
,Marvelous Interactive,
,Nihon Falcom Corporation,
,Wargaming.net,
,Angel Studios,
,Arc System Works,
,Playmates,
,SNK Playmore,
,Hamster Corporation,
,From Software,
,Nippon Columbia,
,Nichibutsu,
,Little Orbit,
,Conspiracy Entertainment,
,DTP Entertainment,
,Hect,
,Mumbo Jumbo,
,Pacific Century Cyber Works,
,Indie Games,
,Liquid Games,
,NEC,
,Axela,
,ArtDink,
,Sunsoft,
,Gust,
,SNK,
,NEC Interchannel,
,FuRyu,
,Xing Entertainment,
,ValuSoft,
,Victor Interactive,
,Detn8 Games,
,American Softworks,
,Nordcurrent,
,Bomb,
,Falcom Corporation,
,AQ Interactive,
,CCP,
,Milestone S.r.l.,
,Sears,
,JoWood Productions,
,Seta Corporation,
,On Demand,
,NCS,
,Aspyr,
,Gremlin Interactive Ltd,
,Agatsuma Entertainment,
,Compile Heart,
,Culture Brain,
,Mad Catz,
,Shogakukan,
,Merscom LLC,
,Rebellion Developments,
,Nippon Telenet,
,TDK Core,
,bitComposer Games,
,Foreign Media Games,
,Astragon,
,SSI,
,Kadokawa Games,
,Idea Factory,
,Performance Designed Products,
,Asylum Entertainment,
,Core Design Ltd.,
,PlayV,
,UFO Interactive,
,Idea Factory International,
,Playlogic Game Factory,
,Essential Games,
,Adeline Software,
,Funcom,
,Panther Software,
,Blast! Entertainment Ltd,
,Game Life,
,DSI Games,
,Avalon Interactive,
,Popcorn Arcade,
,Neko Entertainment,
,Vir2L Studios,
,Aques,
,Syscom,
,White Park Bay Software,
,System 3,
,Vatical Entertainment,
,Daedalic,
,EA Games,
,Media Factory,
,Vic Tokai,
,The Adventure Company,
,Game Arts,
,Broccoli,
,Acquire,
,General Entertainment,
,Excalibur Publishing,
,Imadio,
,Swing! Entertainment,
,Sony Music Entertainment,
,Aqua Plus,
,Paradox Interactive,
,Hip Interactive,
,DreamCatcher Interactive,
,Tripwire Interactive,
,Sting,
,Yacht Club Games,
,SCS Software,
,Bigben Interactive,
,Havas Interactive,
,Slitherine Software,
,Graffiti,
,Funsta,
,Telstar,
,U.S. Gold,
,DreamWorks Interactive,
,Data Design Interactive,
,MTO,
,DHM Interactive,
,FunSoft,
,SPS,
,Bohemia Interactive,
,Reef Entertainment,
,Tru Blu Entertainment,
,Moss,
,T&E Soft,
,O-Games,
,Aksys Games,
,NDA Productions,
,Data East,
,Time Warner Interactive,
,Gainax Network Systems,
,Daito,
,O3 Entertainment,
,Gameloft,
,Xicat Interactive,
,Simon & Schuster Interactive,
,Valcon Games,
,PopTop Software,
,TOHO,
,HMH Interactive,
,5pb,
,Cave,
,CDV Software Entertainment,
,Microids,
,PM Studios,
,Paon,
,Micro Cabin,
,GameTek,
,Benesse,
,Type-Moon,
,Enjoy Gaming ltd.,
,Asmik Corp,
,Interplay Productions,
,Asmik Ace Entertainment,
,inXile Entertainment,
,Image Epoch,
,Phantom EFX,
,Evolved Games,
,responDESIGN,
,Culture Publishers,
,Griffin International,
,Hackberry,
,Hearty Robin,
,Nippon Amuse,
,Origin Systems,
,Seventh Chord,
,Mitsui,
,Milestone,
,Abylight,
,Flight-Plan,
,Glams,
,Locus,
,Warp,
,Daedalic Entertainment,
,Alternative Software,
,Myelin Media,
,Mercury Games,
,Irem Software Engineering,
,Sunrise Interactive,
,Elite,
,Evolution Games,
,Tivola,
,Global A Entertainment,
,Edia,
,Athena,
,Aria,
,Gamecock,
,Tommo,
,Altron,
,Happinet,
,iWin,
,Media Works,
,Fortyfive,
,Revolution Software,
,Imax,
,Crimson Cow,
,10TACLE Studios,
,Groove Games,
,Pack-In-Video,
,Insomniac Games,
,Ascaron Entertainment GmbH,
,Asgard,
,Ecole,
,Yumedia,
,Phenomedia,
,HAL Laboratory,
,Grand Prix Games,
,DigiCube,
,Creative Core,
,Kaga Create,
,WayForward Technologies,
,LSP Games,
,ASCII Media Works,
,Coconuts Japan,
,Arika,
,Ertain,
,Marvel Entertainment,
,Prototype,
,TopWare Interactive,
,Phantagram,
,1C Company,
,The Learning Company,
,TechnoSoft,
,Vap,
,Misawa,
,Tradewest,
,Team17 Software,
,Yeti,
,Pow,
,Navarre Corp,
,MediaQuest,
,Max Five,
,Comfort,
,Monte Christo Multimedia,
,Pony Canyon,
,Riverhillsoft,
,Summitsoft,
,Milestone S.r.l,
,Playmore,
,MLB.com,
,Kool Kizz,
,Flashpoint Games,
,49Games,
,Legacy Interactive,
,Alawar Entertainment,
,CyberFront,
,Cloud Imperium Games Corporation,
,Societa,
,Virtual Play Games,
,Interchannel,
,Sonnet,
,Experience Inc.,
,Zenrin,
,Iceberg Interactive,
,Ivolgamus,
,2D Boy,
,MC2 Entertainment,
,Kando Games,
,Just Flight,
,Office Create,
,Mamba Games,
,Fields,
,Princess Soft,
,Maximum Family Games,
,Berkeley,
,Fuji,
,Dusenberry Martin Racing,
,imageepoch Inc.,
,Big Fish Games,
,Her Interactive,
,Kamui,
,ASK,
,Headup Games,
,KSS,
,Cygames,
,KID,
,Quinrose,
,Sunflowers,
,dramatic create,
,TGL,
,Encore,
,Extreme Entertainment Group,
,Intergrow,
,G.Rev,
,Sweets,
,Kokopeli Digital Studios,
,Number None,
,Nexon,
,id Software,
,BushiRoad,
,Tryfirst,
,Strategy First,
,7G//AMES,
,GN Software,
,Yuke's,
,Easy Interactive,
,Licensed 4U,
,FuRyu Corporation,
,Lexicon Entertainment,
,Paon Corporation,
,Kids Station,
,GOA,
,Graphsim Entertainment,
,King Records,
,Introversion Software,
,Minato Station,
,Devolver Digital,
,Blue Byte,
,Gaga,
,Yamasa Entertainment,
,Plenty,
,Views,
,fonfun,
,NetRevo,
,Codemasters Online,
,Quintet,
,Phoenix Games,
,Dorart,
,Marvelous Games,
,Focus Multimedia,
,Imageworks,
,Karin Entertainment,
,Aerosoft,
,Technos Japan Corporation,
,Gakken,
,Mirai Shounen,
,Datam Polystar,
,Saurus,
,HuneX,
,Revolution (Japan),
,Giza10,
,Visco,
,Alvion,
,Mycom,
,Giga,
,Warashi,
,System Soft,
,Sold Out,
,Lighthouse Interactive,
,Masque Publishing,
,RED Entertainment,
,Michaelsoft,
,Media Entertainment,
,New World Computing,
,Genterprise,
,"Interworks Unlimited, Inc.",
,Boost On,
,Stainless Games,
,EON Digital Entertainment,
,Epic Games,
,Naxat Soft,
,Ascaron Entertainment,
,Piacci,
,Nitroplus,
,Paradox Development,
,Otomate,
,Ongakukan,
,Commseed,
,Inti Creates,
,Takuyo,
,Interchannel-Holon,
,Rain Games,
,UIG Entertainment,
